,Migrant remittance inflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017p
72,Ghana,,,,,,,,,,1.27274,0.9,1.4,1.5,0.5,4.7,4.2,0.6,0.7,6.0,6.0,6.0,6.2,7.3,10.1,15.7,17.2096,27.5,26.0,29.5,30.7,32.3968,45.90912,43.52,65.100096,82.3712,99.184576,105.253248,117.363712,126.104704,114.45568,135.85216,2134.638607,2155.495,1863.99,2007.83148,2100.0,2100.0,2190.2999999999997
73,Greece,,,,,,,805.0,940.0,989.0,1184.0,1123.0,1172.0,1144.0,964.0,945.0,807.0,967.0,1403.0,1742.0,1387.0,1822.0,2178.0,2535.0,2655.0,2890.0,3284.0,3075.0,3066.0,,2287.0,2191.0,2013.0,1658.0,1561.0,1242.0,1220.107040029686,1542.6229962999998,2483.721084,2686.6350428,2020.3239130999998,1499.2031528,1186.1935376,681.2267482000001,804.7520942000001,734.7116147,428.809248,331.496512,345.8790320743957
74,Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Grenada,,,,,,,,,,,,,,,,,16.777777710000002,22.333333189999998,23.518519259999998,16.851851950000004,17.974074085,8.277777778,8.596296278,18.359259178,26.159259778,37.755556185,41.2777784074,41.344444444,42.381482148,44.481482037,46.374074815,46.71481462999999,47.562963037,48.567236740999995,72.192592037,26.83611111111113,28.4431888848,28.6249355533,28.850324443699996,27.652595183,28.475102227,28.948812963299996,29.2943529637,29.6458851811,29.6458851811,29.6458851811,29.6458851811,30.32892891826319
76,Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Guatemala,,,,,,,,14.0,21.6,23.6,26.2,24.5,10.7,3.9,3.4,1.0,0.7,0.1,45.7,85.0,119.1,178.9,230.9,240.5,284.9,358.0,375.0,408.0,457.0,466.0,595.8,633.414702,1600.80018,2150.4552,2631.5,3066.6,3700.1,4236.2,4459.83414532,4019.3565312600003,4231.75098,4523.7585,5030.64950699,5379.0668,5837.974286,6572.785168,7468.599808,8678.512976896
78,Guinea,,,,,,,,,,,,,,,,,0.07,0.07,26.71,,,,,,0.49,0.74,1.072,1.48,4.98,6.015879,1.166455,8.7158703,15.19,111.0,41.64,41.57,29.5,15.07,61.52,52.03,46.26,64.5,66.3,93.01,121.42585322,130.582308,52.17078,55.36367292052749
79,Guinea-Bissau,,,,,,,,,,,,,,,,,,,1.5,1.2,1.0,,,,,,2.0,2.0,,,,10.028122569999999,17.63157561,23.1262775,27.69907394,19.898832076355045,25.51970243,43.030269350000005,49.46055225,48.85041382,45.890277963,52.1101203654,45.635184424900004,63.787684424999995,92.4196765,84.952814,93.278189772,113.70611333206801
80,Guyana,,,,,,,,,,,,,2.3,1.1666667,2.6098951,,,,,,,,1.02,1.21,1.34,1.7,14.6,15.0,14.0,20.5,27.3,22.3,51.0,99.3,153.0,201.289,218.076,278.496,273.8960143,262.0658459,367.8054063,412.2,469.2584055,328.1526585,329.65810489999996,293.505504,293.505504,302.801789466188
81,Haiti,,17.9,22.579917,22.54,21.659982,59.22,74.7,75.02,76.0,84.78,106.0,127.0,97.04,89.88,90.0,95.78,105.0,113.0,124.0,123.0,,,,,,,,,327.0,422.0,578.0,624.0,676.0,811.0,932.0,986.154,1062.869,1222.089,1369.753973,1375.546872,1473.804721,1551.366394,1612.32605,1780.995274,1977.033926,2195.560192,2358.65344,2462.3544116572252
82,Honduras,,,,,0.8,0.75,0.85,1.05,1.25,1.5,1.6,1.75,1.5,1.8,1.95,2.1,2.1,33.7,41.8,48.6,62.9,82.6,112.0,63.8,89.0,124.0,156.9,190.0,225.0,328.3,483.86176,623.02847,817.83103,883.125851,1177.153862,1805.19492010638,2337.19181,2613.644663,2821.344123,2477.339131204,2617.90683899,2810.592536,2920.36978334,3098.239342,3369.514367,3666.201216,3863.740032,4010.0630449082714
83,"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0,131.0,136.0,153.0,121.0,120.0,240.0,296.761189341991,294.0336324,316.8666901,355.347245,347.79244689999996,339.5693689,351.6385093,366.8152673,360.2375414,372.4490601,386.75056,399.492896,411.0250109992222
84,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,151.6325405,168.755784,213.79410878,220.55414290000002,213.4162467,281.1500607,295.7706147,279.4002196,294.9699458,1722.044024,1912.9550336520556,2073.37539659,2308.7865951999997,2522.15176083,1747.4867646,2069.1101658,2785.1226822,3529.8728751999997,4592.3954026,4711.3484591999995,4417.525824,4609.248768,4346.521588224
85,Iceland,,,,,,,1.4,1.7,1.8,1.7,1.5,3.1,1.2,2.3,6.8,5.1,7.6,14.7,22.4,30.2,62.259349,65.318411,63.823406,57.867331,47.5066575,62.606614,73.5541746,69.67253,75.7703022,85.230225,87.594032,74.369699,73.379312,96.35666,112.112754,61.833908566344306,80.261360652,109.9838856,120.04789809,93.982238368,135.45589192199998,150.80721492799998,157.09238488,188.54113559399997,212.714033811,205.951135,245.50384,297.55065408
86,India,,,,,,430.0,642.56301509,934.68578085,1160.6058407799999,1440.62242325,2761.2806846,2301.8901146,2621.9138363,2662.4796223000003,2293.0658374,2472.2854866999996,2243.0138804000003,2663.4697481999997,2316.7241905,2609.857302,2381.874273,3294.230746,2896.0176238000004,3527.473412,5854.940053,6223.99706,8763.0,10334.310409,9476.716424,11122.0,12845.0,14229.0,15707.0,21015.0,18753.0,22125.089480498224,28333.6422797,37216.7552756,49977.2769166,49203.9120087,53479.9600835,62499.075445,68820.517837,69970.360847,70388.642796,68909.691648,62744.364288,65379.627588096
87,Indonesia,,,,,,,,,,,,,,10.0,53.0,61.0,71.0,86.0,99.0,167.0,166.0,130.0,229.0,346.0,449.0,651.0,796.0,725.0,958.0,1110.0,1190.0,1050.0,1260.0,1490.0,1866.0,5419.620728753052,5722.3575167,6174.34,6794.2009332,6792.9072804,6916.0510731,6923.970511,7212.196577600001,7614.4193398,8551.1644685,9659.169024,8976.778128,8662.59089352
88,"Iran, Islamic Rep.",,,,,,,,,,,,,,,,,,,,,,1200.0,1196.0,1500.0,1200.0,1600.0,658.0,400.0,680.0,508.0,536.0,682.0,851.0,1178.0,1032.0,1032.0,1032.0,1115.0,1115.0,1072.0,1181.0,1330.0,1330.0,1330.0,1330.0,1330.0,1330.0,1370.9295665273567
89,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.1,388.9,3.1,70.9,152.0,176.7,223.0,271.0,271.0,729.4,1004.499968,986.399968,1022.8395570504301
90,Ireland,,,,,,,,,,,,,,,,,,,,,286.0,278.0,322.0,297.0,324.0,347.0,362.0,314.0,274.0,295.0,252.398509,243.712355,316.062409,337.333743,413.851843,512.5706056406543,539.1373828,589.51999211,633.28638716,572.7767369100001,658.1631446700001,755.4937680310001,705.776729531,723.850488931,719.2768794,601.15904,594.067904,577.8215196114911
91,Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Israel,72.0,140.0,190.0,178.0,130.0,101.0,72.0,106.0,194.0,335.0,421.0,532.0,281.0,243.0,253.0,209.0,448.9,614.0,542.0,784.0,812.0,877.0,1161.0,1264.0,1605.0,701.0,640.0,665.0,446.0,486.0,400.0,499.0,410.0,423.0,715.0,376.9,488.8,579.7,628.4,507.0,571.5,594.6,684.9,764.8,859.0,853.100032,963.4,859.3528
93,Italy,1232.0,1367.0,1552.0,1461.0,1214.0,1602.0,1402.0,2159.0,3000.0,3705.629641,4013.289914,3532.878757,3532.851781,3388.87576,3273.737509,3237.461021,4397.046682,4462.0,4826.0,5076.382833,5067.827377,3696.776168,2968.98603,2668.407422,2418.087323,2360.175691,2585.365529,2280.123398,2121.153884,1997.269595,1935.783418,2270.680825,2261.821908,2144.0,2176.175636,2318.1031450878822,2555.8385538,3062.8750981,7355.322875,7035.548241,7977.0476,8725.598965,9169.473908,9327.57031,10086.692302,9517.018368,9712.828672,9479.720783871999
94,Jamaica,,,,,,,88.5,81.7,69.1,89.9,95.5,107.0,111.1,84.2,73.9,145.5,111.5,120.5,153.9,208.3,228.5,181.7,215.9,239.0,522.2,652.8,714.6,729.5,757.9,790.0,892.2,1058.7,1259.7,1398.8,1627.0,1761.6287670155868,1923.7352737,2122.0910211,2156.5895006,1889.49434846,2026.4458254,2105.60676033,2166.8831173000003,2171.8875415,2268.7850144,2361.233984,2433.42288,2487.8100900410645
95,Japan,,,,,,,,90.0,130.0,160.0,140.0,190.0,210.0,180.0,210.0,,,,,,,508.0,582.0,777.0,874.0,1150.0,1228.0,1346.0,1239.0,1109.0,1374.0,1987.0,1821.0,1079.0,930.0,904.981240667079,1176.9884802000001,1383.9306442,1732.3789221,1594.5321777000001,1684.468955,2131.7292257999998,2539.5776651,2363.8533979,3733.9125417,3325.097824,3818.90888,4853.833186479999
96,Jordan,,,20.719977,44.739207,74.82342,167.0,411.0,470.0,521.0,601.0,794.0,1030.0,1080.0,1110.0,1240.0,1020.0,1180.0,938.0,895.0,627.0,499.0,448.0,844.0,1040.0,1090.0,1437.0,1698.0,1824.0,1621.100141,1753.588152,1845.0,2011.0,2142.0,2200.0,2332.0,2420.874471086042,2793.9351201,3326.3762982,3510.1603015,3465.2112673,3622.9577469,3683.9436625,3848.3098595,5342.8169011,6369.718309899999,5348.310048,4374.647776,4457.766083743999
97,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,89.1,59.5,72.3,64.0,121.80244,171.272733,204.560833,147.19779,166.377331,62.02192132837981,83.58986995,142.99141403,125.570547314,198.201187552,225.556234249,179.708290675,178.137977,206.96268940000002,228.53343819999998,194.496976,275.390912,296.99076824169805
98,Kenya,,,,,,5.7195825,7.170904800000001,3.624694,12.6788898,17.658132600000002,12.9376787,7.4053619699999995,7.04978109,5.70934196,5.82771809,6.329069,10.04576576,10.51384672,12.058307939999999,11.2286,7.8551967099999995,3.83890183,83.496723,,71.364121,87.497853,87.542881,507.0,532.0,585.0,,50.914426,57.14348,65.845295,376.0,424.991045929029,570.459274,645.2078713999999,667.317334,631.4608832,685.7572723999999,934.1491571,1211.021406,1304.277242,1440.846022,1561.4298066325466,1739.2285542930208,1810.5369250190345
99,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.093477881999998,12.930468057,13.306453741,13.183382797,14.924960392000001,16.257779433000003,16.905072965,17.202103981,16.777377156,16.095636,17.4751795,18.248900073396477
100,"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"Korea, Rep.",,,,,,,47.0,103.0,105.0,101.0,563.0,690.0,784.0,921.0,946.0,1158.0,1738.0,2075.0,2510.0,2187.0,2412.0,2674.0,2932.0,2889.0,3085.0,3494.0,3635.0,4366.0,5596.0,4707.0,4862.0,4836.0,5530.0,6301.1,6573.6,5178.4,4826.0,5129.7,6952.4,5982.3,5835.7,6582.0,6571.0,6455.4,6550.5,6443.999808,6393.399808,5990.615620096
102,Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.200244,701.311147402685,770.7821878999999,918.6773126,1042.3042358,1055.2703142,996.9100063999999,1121.6478845,1059.0292718,1121.7973081,1098.6123774,971.064928,985.598208,879.153601536
103,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8081139450000006,5.63545626,2.6138694360000003,4.224467043,3.839517358,34.265896,3.99208375,4.104119993721043
104,Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,1.785,1.002,1.243,2.44,2.74,24.696,18.4773,8.844515,11.1137288,36.716599,78.157082,188.6151,313.2502583113,473.0719157,704.0046678,1223.272673,981.9640025,1266.195469,1708.694028,2031.374213,2277.998114,2242.827292,1687.702016,1994.608,2541.130592
105,Lao PDR,,,,,,,,,,,,,,,2.8,3.5,3.7,3.5,6.7,8.3,10.9,10.4,10.8,12.1,10.0,22.1,45.4,40.8,50.0,0.6,0.66,0.694575,0.72930375,0.76576894,0.80405738,0.83,4.237233,6.203732835,17.77460343,37.57633507,41.774224630000006,110.29781308999999,58.516879409999994,59.62604031,40.11364251,92.998444,116.384099,122.60971025140705
106,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,40.771,45.709,49.4,48.6,72.3,112.4,138.2,173.6,229.7,381.0,1645.6229385,1812.0459967000002,1920.3476822,1585.3262075999999,1257.6555134,1504.7527325,1499.1295076,1604.500701,1560.2448223,1354.255616,1269.26784,1142.341056
107,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2540.011535,4739.0,5589.0,4924.310615233329,5202.23775,5769.24,7180.59,7558.138454,6914.0550249,6913.4722313,6671.2415736,7566.589340699999,7190.7945849,7480.817088,7615.622016,7867.848119242646
108,Lesotho,,,,,,122.0,138.0,165.0,177.0,213.0,263.0,291.0,348.0,378.0,323.0,224.0,255.0,353.0,372.0,365.0,428.0,437.0,455.0,401.0,320.0,410.78600406,387.58781366000005,378.81728128,295.1425627,275.69313801,477.7335402,401.9760365,389.8568482,556.5137227,627.2099495,599.3576766671026,613.862804449,638.151924284,575.8592322570001,547.92660994,610.1288135420001,649.33495092,554.568272338,462.91882283399997,392.994339059,370.82951725,343.655836,366.777810586259
109,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.4468764,31.85495564809736,78.81494228,61.97717809,58.12223158,25.116904336000005,31.4427773007,359.99384260000005,515.79,383.4125,505.6650907,640.78006,548.7835685569728,574.0753930686958
110,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,10.0,7.0,8.0,10.0,15.0,16.0,,,,,,,,,,,
111,Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,0.034529883000000004,0.7430721,1.095,2.575,2.9275,3.425,2.995,49.9425,79.15,109.248046,114.833999,325.0,745.40499375412,994.037928,1433.3623965,1565.4119114,1239.0616085,1673.4000293,1954.1565331,1507.646705,2060.0152022,2112.6311287,1372.314992,1279.67152,1151.7043680000002
113,Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,730.0,711.0,649.0,657.0,652.0,579.0,577.0,810.0426035,1022.35986185,1135.330068,1198.9768145171981,1346.7324978499998,1472.94428983,1630.10056723,1657.32466247,1653.25113945,1772.8381807,1673.18655476,1838.3367825999999,1859.73071779,1635.390464,1619.953536,1667.4317162063307
114,"Macao SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.620167,160.740741,355.334689,53.1502393434497,55.46511219,54.38582193,51.59891344,48.381809270000005,46.85350875,48.29270878,46.90705918,48.6590782,48.13075147,57.062712,57.062712,58.93612630535215
115,"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,67.78,77.69,63.237639,76.537013,80.92099,73.439228,105.902711,173.921649,212.952027,226.568479,266.556404,345.010224,406.625951,381.153563,387.931157,434.124447,394.153574,376.0682169,366.518601,306.656776,291.115104,280.343845152
116,Madagascar,,,,,0.41544845,0.46660925,0.71144715,0.32562849,0.39883893699999995,0.04700997,0.37864669,0.22080708,0.11437204,0.11615773,5.6360743,4.5737402000000005,5.8698216,4.6482772,4.02954524,9.741570900000001,7.8707133,13.13093882,15.21486427,13.54385906,12.743958300000001,13.805692709999999,11.32409501,12.18452,11.462127,11.621995,11.270073,10.871296,29.323596,16.2315477,11.5066542,115.1675260013736,174.93106447,301.20654148,374.70836985,337.50060216,547.03482282,398.3710758,396.72088902999997,427.48093532,286.1696052,272.247178,250.46626,258.7944588442295
117,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,0.76690584,0.52343203,0.6473541899999999,0.74494464,0.74688672,0.74688391,0.74688621,0.74688597,0.84369359,13.91215875,18.32101659,22.531928646673578,14.7898644219,21.0135540007,16.6741752851,16.6568740305,21.767544643799997,25.320292517000002,28.30338041,34.13218620399999,38.487247008000004,34.442824625,34.442824625,36.98488811304323
118,Malaysia,,,,,,4.1774875,3.9345681,4.0629211000000005,4.3177116,4.5694615,,,,,,,,48.81653,99.664603,139.0,185.0,130.0,153.0,176.0,119.0,116.0,164.0,194.0,190.0,323.0,342.0,367.0,435.0,571.0,802.0,1116.97256032095,1365.476253,1556.236305,1329.07085,1130.872358,1102.925378,1211.496096,1293.805738,1423.370252,1579.517557,1643.720832,1584.904064,1483.470203904
119,Maldives,,,,,,,,,,,,,,2.5,2.5,,1.0,1.0,1.2,1.4,1.7,1.8,1.6,1.3,2.1735818,2.365779,2.7077561,2.4520765,2.45,2.1968549,2.1968549,1.8231188,2.0121921,2.0121921,2.9000923,2.25725,2.8,7.934160761,6.265651332999999,4.510691347,3.15919848,2.9975389389999996,3.147415886,3.304786681,3.470026015,3.64352725,3.82570375,4.082321650776479
120,Mali,,,,,,23.307043,17.744261,26.497917,44.315268,54.061259,59.399974,47.657347,39.408867,36.476617,32.497502,66.998623,68.436604,88.175628,73.225215,75.954137,107.0,93.014383,117.0,126.0,103.0,112.0,110.4670003,91.724875,84.462836,86.3083888,73.163955,88.16726440000001,138.159443,153.932889,155.386455,177.1860561981845,211.84183435999998,343.92118547,430.99092207,453.74040757,472.74553396,784.1080106000001,827.4643408100001,894.5090610200001,920.26492596,920.26492596,936.82969462728,1058.6175549288264
121,Malta,,18.1770157,17.8207963,19.5229535,18.67793102,21.8304675,32.2249953,36.2293819,26.467154100000002,28.733227199999998,35.0291432,28.1871645,39.3067934,42.779594700000004,36.8736233,34.7433154,45.802400299999995,46.021370700000006,51.6840118,70.0158536,58.211397,42.017989,30.4900866,25.4545426,23.5472445,19.1483453,19.9225661,16.5443812,20.6842668,27.1669002,19.9737995,14.190495910000001,23.35592741,26.808201219999997,31.139625398,33.5226369966194,208.71584396,229.32598885,264.48945066,259.69310647,229.62225514,226.97636407000002,200.17998527,201.37383148,252.71569715,225.565696,218.763036,221.70629088408026
122,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.74331399008172,25.993301224,25.141959526999997,23.064845277,23.586551157000002,22.214933548,22.145271405000003,23.236798202,24.555434906,26.081549296,26.081549296,26.081549296,27.073949303798692
123,Mauritania,,,,,,0.4407918,0.42201356,0.30710453000000004,0.5632277299999999,2.3533257,5.5756312999999995,3.7063239,2.3179821,1.2223675,0.9560629,0.79133424,1.8554622,6.7002052999999995,9.3009866,4.7801953,13.708147,11.739462,50.134011,2.2681024,4.8958123,5.4481705,4.3651999,2.6933884,2.2071795,,,,,,,,,,,,,,,,,,,
124,Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,118.0,132.0,160.0,168.0,180.0,178.0,177.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,211.0,226.0,249.0,249.0,249.0,249.0,249.0,249.0,249.97763606056645
125,Mexico,,,,,,,,,,177.0,1039.0,1220.0,1226.0,1391.0,1564.0,1619.0,1771.0,1987.0,2442.0,2790.0,3096.0,3026.0,3700.0,3977.0,4127.0,4365.0,4945.0,5551.0,6504.0,6649.0,7522.0,10150.0,11030.0,16620.0,19830.0,22741.840918,26542.811528,26879.86316,26041.489182,22075.734995,22080.259157,23588.480056,23365.990957,23432.844108,24802.081325,26233.172352,28670.114304,30533.67173376
126,"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3496,18.0667,19.428,20.8033,22.0466,23.3387,23.3387,23.3387,24.022178274759618
127,Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,87.17,114.41,124.31,112.06,178.6,243.32,324.15,486.61,704.87,915.08,1175.82,1491.26,1888.02,1198.63,1351.43,1813.11,1986.44,2191.7,2075.92,1540.12,1464.929984,1560.2928592488906
128,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,7.2,12.0,25.0,56.31215,129.0,202.1,180.36,181.39,178.0297,224.59524717899998,199.61869430000002,266.24256057,279.42505654,320.35955084999995,255.73228144,255.12182702,260.910764,259.876364,271.57080038
130,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.46125562999998,298.09131214,302.91556939,301.05216466999997,343.39125787,332.61110133999995,423.399012,431.2700973,381.192072,396.160136,403.29101844800005
131,Morocco,,,,,,533.0,547.0,589.66617136,762.95999904,948.5129343899999,1050.25402336,1010.38667549,849.3320591900001,916.84372482,873.9295081,972.3664627,1401.318038,1591.6747964,1301.2181529000002,1340.11781102,2010.0,1990.11485606,2170.0,1960.10754181,1830.32599075,1970.0,2170.0,1890.52481831,2010.10411877,1940.20398965,2160.056467207,3260.0,2880.0,3610.0,4220.0,4589.226819797321,5451.371055,6730.472441,6894.287729,6269.117561,6422.54153,7256.310892,6507.905288,6881.69996,7735.661293,6903.543808,7087.744,7087.744
132,Mozambique,,,,,,,,,,,53.4,64.5,63.5,75.2,57.0,40.8,50.0,58.0,71.6,71.3,70.4,55.6,58.0,59.6,54.8,59.1,61.0,63.6,46.3,38.0,36.8,41.817002,52.554812,69.478279,57.5185175,58.891885441884696,80.03249215999999,99.38583573999999,115.74397210000001,111.12526322,115.77723450999999,129.66976954999998,174.10742419,152.41099868,155.46496593999998,142.879136,93.372688,93.83955143999998
133,Myanmar,,,,,,,,,,,,,,,,,,5.9086543,6.7716665,9.1856729,5.9106277,1.5368464,0.27696714,28.245712,41.563739,80.575033,123.0,147.0,136.0,135.053918,102.152605,116.158175,105.385646,84.412132,116.573116,129.48892789472842,115.16816405,81.00905789,54.74402017,54.472032219999996,114.8548493,127.07598109999999,274.6160617,1643.8833783,278.96378610000005,386.78352,681.772284,714.0967865659511
134,Namibia,,,,,,,,,,,,,,,,,,,,,13.4502068,13.79777389,15.70819679,14.5360331,14.8980582,15.604817600000002,13.5136733,13.3030621,11.215053100000002,10.22924866,9.450584549999999,8.81553124,7.959585459999999,12.216718140000001,15.236835200000002,17.561579063326768,16.432869467,15.703734160999998,13.550941346,13.223622274,15.120600163999999,15.294143844,13.489397901999999,11.479309333,10.192312727,8.71227325,2.2468476024489603,2.3991664303008715
135,Nepal,,,,,,,,,,,,,,,,,,,,,,,,54.825104,50.118518,56.822667,44.160126,49.458058,67.504903,83.46278,112.0,147.0,678.45664,770.676409,823.018911,1211.8232525063736,1453.23142624,1733.8585177,2727.1404871,2983.3368772,3464.0926823,4216.8940099,4793.440976600001,5588.9034389,5888.6947175,6729.935776,6606.795584,6342.523760640001
136,Netherlands,133.127072,202.90266,262.29102,367.420745,347.992127,334.594415,328.62188,401.019655,446.501801,551.0,604.686163,556.0,656.0,567.0,492.711277,502.0,626.0,754.0,814.0,769.0,710.0,673.0,792.0,902.0,984.0,1359.0,1757.0,1495.0,1464.0,1976.0,1158.0,1358.0,1215.0,2025.0,2163.0,1259.33827613777,1551.9535248,1630.4522067,1649.09669,1711.7711083,1720.4385272,1787.6074288,1640.7229920999998,1618.6666307,1540.6830195,1364.873648,1413.425072,1459.706936680853
137,New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.7114091,448.52086560000004,493.095264,512.2328021219353,537.060365559,491.18642401700004,544.2223829200001,509.35001057700003,491.844506758,594.2385098550001,715.008459936,724.2344895189999,728.302621972,728.302621972,728.302621972,748.2657965898517
138,New Zealand,,,107.568,156.077778,162.146464,157.393805,127.377279,144.029144,155.180393,207.03258,256.482122,259.732821,294.305621,301.19962,275.441216,255.97804,304.173717,380.0,492.0,585.0,761.0,651.114668,602.0,833.0,1160.0,1650.0,2042.0,1010.0,259.0,258.0,236.0,841.0,1150.0,1070.0,958.0,352.03593783180304,334.6843355,383.6528922,421.3630245,331.0414145,370.5029453,455.3163556,461.78256419999997,459.23910839999996,462.26979889999996,420.525888,420.13136,439.3144384693397
139,Nicaragua,,,,,,,,3.9,4.1,4.5,,,,,,,,,,,,,10.0,25.0,50.0,75.0,95.0,150.0,200.0,300.0,320.0,336.0,377.0,439.0,519.0,615.7,697.5,739.6,819.9,770.3,824.8,913.6,1016.3,1081.3,1140.2,1197.500064,1268.099968,1410.1271644160001
140,Niger,,,,,4.291566199999999,7.787678699999999,6.290005900000001,6.4474195,8.4863739,8.6498015,11.2836285,9.1818595,7.133157,6.838709699999999,7.4584055,8.9836028,15.965653399999999,16.13114843,15.69927182,13.231630939999999,13.89088939,13.01988673,18.17207807,15.8707415,6.9037600999999995,7.7051229,4.498072649999999,5.3352123,18.7828908,26.628265,14.424638,21.9729248,18.9658877,25.481748,59.712108,66.3698850351597,78.10818994,79.35037724000001,93.72601031,101.71621019,134.29252136000002,165.93478036000002,151.84305504,145.87076863,218.78889256,171.517264,181.636782576,209.427210310128
141,Nigeria,,,,,,,,20.164384,3.1482577999999997,8.2780446,21.9466337,16.1888739,17.8183966,13.804340199999999,11.7412625,10.069659,3.9896884,2.7390184,2.4245274,10.183666,10.00854,65.544714,56.448404,793.0,550.0,804.0,947.0,1920.0,1570.0,1300.0,1390.0,1170.0,1210.0,1060.0,2270.0,14640.08434687684,16932.3634355,18011.2966702,19205.9134528,18368.329379299998,19744.6860933,20616.8919798,20542.959359,20797.1323472,20829.1736237,21059.700592,20112.09781603851,22344.540673618783
142,Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Norway,,,,,,8.054653400000001,8.800554199999999,66.1827593,67.9835925,73.0670508,101.64156,125.4891565,106.602182,101.2343238,101.051979,105.437133,110.845806,135.225413,137.8908815,140.718736,157.838426,173.833775,190.0,166.0,170.0,239.0,309.0,289.0,301.0,288.0,270.0,279.0,333.0,392.0,465.0,505.278425015019,528.8330996,616.6765148,684.9709504,631.4712712999999,679.9715402999999,764.9941898999999,766.529947,791.457692,759.9475904,608.942464,593.129472,614.7470427098835
144,Oman,,,,,,,,,28.95194,32.715692,34.742328,40.532716,43.42791,43.42791,43.428224,43.428538,39.268875,39.011704,39.011704,39.011704,39.011704,39.011704,39.011704,39.011704,39.011704,39.011704,39.0,39.0,39.0,39.0,39.0,39.011704,39.011704,39.011704,39.011704,39.0117035110533,39.01170351,39.01170351,39.01170351,39.01170351,39.01170351,39.01170351,39.01170351,39.01170351,39.01170351,39.011704,39.011704,39.59671753211419
